city,state,traffic_volume,avg_speed_kmh,congestion_level,weather_condition,incident_type,road_type,lane_closure
Phoenix,TX,3339,108.82,Low,Cloudy,Breakdown,Expressway,No
Chicago,NY,1648,62.55,Medium,Fog,None,Rural,Yes
San Antonio,TX,1958,10.5,Low,Fog,Accident,Urban,Yes
Phoenix,CA,4312,106.9,Medium,Rain,None,Expressway,No
Dallas,IL,1592,28.2,High,Snow,None,Expressway,Yes
San Antonio,IL,191,23.9,High,Fog,Accident,Rural,Yes
Los Angeles,PA,139,43.84,High,Rain,None,Rural,Yes
Houston,CA,4035,51.8,Low,Rain,None,Expressway,Yes
Dallas,TX,4456,97.93,High,Snow,Construction,Highway,Yes
Los Angeles,CA,2313,52.81,Low,Rain,Construction,Rural,Yes
San Jose,PA,3562,15.37,Low,Cloudy,None,Urban,No
Dallas,AZ,3756,79.96,Low,Snow,Accident,Rural,No
San Jose,TX,1259,83.83,High,Clear,None,Urban,No
Phoenix,CA,3274,99.56,Low,Rain,Breakdown,Urban,Yes
Los Angeles,AZ,4906,53.88,Medium,Fog,None,Expressway,No
Houston,PA,1409,19.47,Medium,Fog,Construction,Highway,Yes
San Antonio,AZ,1588,70.84,High,Snow,None,Expressway,Yes
San Diego,TX,198,23.31,Medium,Fog,Breakdown,Rural,Yes
Chicago,PA,4860,11.88,Low,Fog,Accident,Urban,No
New York,PA,1475,95.64,Medium,Clear,Breakdown,Highway,No
Houston,PA,1767,54.38,High,Fog,Construction,Rural,No
Los Angeles,NY,1404,67.75,Medium,Snow,Construction,Highway,Yes
San Diego,PA,2455,82.91,Medium,Snow,Accident,Urban,Yes
Houston,NY,2685,54.11,Medium,Cloudy,Breakdown,Expressway,Yes
Los Angeles,AZ,2413,15.62,Low,Rain,Breakdown,Expressway,No
Philadelphia,NY,2982,37.8,Low,Rain,Breakdown,Highway,No
Philadelphia,AZ,3157,31.38,Medium,Rain,Breakdown,Rural,Yes
San Jose,NY,1551,117.51,Low,Snow,None,Highway,Yes
Houston,AZ,1501,91.35,Medium,Fog,Breakdown,Highway,No
Philadelphia,AZ,499,59.67,Medium,Rain,Accident,Expressway,No
Los Angeles,PA,1885,16.97,Medium,Fog,Accident,Rural,Yes
San Jose,PA,4235,22.74,High,Fog,None,Highway,No
Los Angeles,AZ,2638,99.42,High,Cloudy,Construction,Rural,No
San Jose,PA,4321,114,Low,Rain,Construction,Rural,No
Houston,AZ,1493,13.45,High,Snow,Accident,Urban,Yes
San Diego,PA,2998,110.14,Low,Snow,Accident,Urban,Yes
San Antonio,IL,3985,51.86,Medium,Cloudy,None,Urban,Yes
Dallas,NY,3759,33.5,High,Rain,None,Highway,Yes
San Diego,AZ,3292,21.25,Medium,Fog,Construction,Expressway,No
Phoenix,CA,1339,94.89,Low,Rain,None,Urban,Yes
Los Angeles,PA,553,61.58,Medium,Snow,Breakdown,Highway,Yes
Phoenix,PA,3147,101.57,High,Snow,Accident,Rural,No
San Diego,TX,2197,34.88,Low,Snow,Accident,Urban,No
San Jose,CA,1515,84.64,High,Fog,Accident,Rural,No
Dallas,CA,4570,22.99,High,Snow,Construction,Urban,No
Dallas,IL,1947,19.87,High,Rain,Construction,Urban,Yes
New York,NY,3766,24.67,High,Fog,Accident,Expressway,Yes
Dallas,IL,700,98.98,Medium,Rain,None,Expressway,Yes
San Antonio,NY,3312,82.12,Low,Clear,Construction,Expressway,No
Dallas,AZ,1260,28.26,High,Clear,Accident,Urban,No
San Diego,IL,2237,52.32,High,Fog,None,Highway,No
New York,TX,3870,94.01,Medium,Snow,Construction,Highway,Yes
San Diego,NY,418,41.42,High,Snow,Accident,Highway,No
San Diego,IL,2394,111.34,Low,Fog,Construction,Expressway,Yes
Chicago,TX,3321,110.61,High,Rain,Breakdown,Rural,Yes
New York,CA,2893,70.82,High,Clear,Construction,Urban,No
San Diego,PA,3500,79.52,High,Snow,Breakdown,Rural,Yes
Chicago,AZ,3201,81.85,Low,Snow,None,Expressway,No
Chicago,AZ,3568,38.43,High,Clear,Breakdown,Rural,Yes
New York,CA,4404,50.19,Low,Fog,None,Rural,Yes
Phoenix,IL,1686,24.95,Low,Fog,Construction,Rural,No
San Jose,PA,3910,111.74,High,Fog,None,Highway,No
San Antonio,CA,1194,89.62,Medium,Snow,Accident,Highway,No
San Jose,TX,3176,15.1,High,Rain,Breakdown,Highway,Yes
Dallas,PA,67,70.43,Medium,Cloudy,Breakdown,Expressway,Yes
San Antonio,NY,1706,47.74,High,Fog,Construction,Highway,Yes
Dallas,IL,4255,99.68,Medium,Cloudy,Breakdown,Expressway,Yes
San Diego,PA,4476,47.82,Low,Rain,Accident,Urban,No
Los Angeles,NY,1646,80.86,Low,Snow,None,Expressway,Yes
New York,CA,995,28.23,High,Cloudy,Construction,Highway,Yes
San Antonio,AZ,1337,71.46,High,Fog,None,Highway,Yes
San Antonio,PA,317,42.33,Medium,Cloudy,None,Urban,Yes
San Diego,PA,484,28.14,Medium,Clear,Breakdown,Highway,Yes
Phoenix,NY,2085,78.12,Low,Rain,None,Rural,No
Chicago,NY,2547,80.25,Medium,Clear,Construction,Highway,Yes
San Diego,AZ,3258,118.17,Low,Rain,Accident,Rural,Yes
Philadelphia,NY,1663,83.6,Low,Rain,None,Highway,No
Chicago,NY,768,66.73,Medium,Snow,Construction,Rural,Yes
New York,PA,4028,110.39,High,Rain,Accident,Highway,No
Chicago,AZ,2281,101.11,Medium,Rain,None,Urban,No
Phoenix,AZ,3722,70.36,High,Fog,Accident,Rural,No
Chicago,PA,790,66.25,Low,Clear,Accident,Expressway,Yes
New York,CA,854,113.62,Low,Cloudy,Breakdown,Highway,Yes
Phoenix,CA,4562,77.88,High,Snow,Accident,Expressway,No
San Jose,PA,4936,88.52,Low,Rain,Accident,Rural,No
San Antonio,NY,3821,19.53,Low,Fog,Construction,Rural,Yes
San Antonio,IL,1776,89.01,Medium,Rain,Construction,Highway,No
Dallas,CA,3562,39.12,Medium,Snow,Construction,Highway,No
San Jose,CA,1148,22.71,Low,Clear,Accident,Urban,No
San Jose,PA,2671,103.46,Medium,Cloudy,Construction,Highway,No
Chicago,PA,3855,86.03,Low,Fog,None,Highway,No
San Antonio,IL,3060,54.83,Low,Snow,Breakdown,Highway,Yes
New York,IL,3033,57.46,High,Snow,None,Rural,No
Houston,AZ,3754,31.68,Medium,Rain,Construction,Highway,Yes
Houston,PA,3433,11.05,Medium,Fog,Accident,Expressway,Yes
Phoenix,CA,1894,48.43,Low,Cloudy,Construction,Urban,No
San Antonio,TX,3974,26.33,High,Snow,Breakdown,Urban,No
San Antonio,TX,3149,56.39,Medium,Cloudy,Construction,Highway,No
Houston,NY,4571,101.72,Medium,Clear,Accident,Rural,Yes
San Antonio,CA,4931,22.62,Low,Rain,Breakdown,Expressway,Yes
Chicago,TX,584,20.09,Medium,Cloudy,Construction,Urban,No
Philadelphia,CA,334,109.23,Medium,Snow,Construction,Highway,No
Los Angeles,PA,2719,91.97,Low,Snow,None,Rural,Yes
San Jose,CA,3836,15.84,High,Snow,None,Urban,Yes
Dallas,TX,1179,18.75,Medium,Snow,Construction,Rural,Yes
Phoenix,CA,553,85.34,Low,Fog,Construction,Urban,No
Philadelphia,IL,4191,50.74,Low,Rain,Accident,Highway,No
Houston,NY,586,89.66,High,Fog,Construction,Expressway,No
San Jose,AZ,111,54.49,High,Fog,Construction,Highway,No
San Antonio,TX,2433,116.46,Low,Rain,None,Highway,Yes
Dallas,PA,260,86.39,Low,Snow,Breakdown,Expressway,No
San Antonio,AZ,2497,15.13,Low,Clear,None,Rural,No
New York,NY,4854,46.36,Medium,Fog,Construction,Urban,Yes
New York,IL,2444,72,Medium,Cloudy,Construction,Urban,No
Dallas,IL,3319,25.61,Medium,Fog,Breakdown,Expressway,Yes
Dallas,IL,426,10.28,Medium,Rain,None,Expressway,Yes
Houston,IL,1235,18.72,High,Fog,Breakdown,Highway,Yes
Dallas,TX,3329,67.67,Medium,Cloudy,Construction,Expressway,Yes
Chicago,TX,3548,79.55,Low,Fog,None,Expressway,Yes
San Antonio,CA,2897,20.22,Medium,Clear,Construction,Urban,Yes
Philadelphia,PA,836,83.17,High,Fog,None,Highway,No
San Diego,CA,782,77.88,Low,Cloudy,None,Highway,Yes
Dallas,PA,3918,113.39,Medium,Snow,Construction,Highway,No
Phoenix,NY,2749,102.47,Medium,Clear,Construction,Expressway,No
New York,CA,4667,113.76,Low,Snow,Accident,Rural,No
Chicago,NY,2208,116.27,Low,Fog,Construction,Rural,No
San Jose,NY,3670,58.49,Low,Cloudy,Construction,Rural,Yes
San Diego,NY,3714,63.67,High,Rain,None,Urban,Yes
Philadelphia,IL,2705,40.98,High,Clear,Accident,Highway,No
San Diego,AZ,1128,65.93,High,Cloudy,Breakdown,Rural,Yes
Dallas,AZ,3344,26.58,Low,Rain,Breakdown,Rural,Yes
Houston,TX,3696,83.86,Medium,Clear,Accident,Urban,Yes
New York,NY,4669,12.74,Low,Clear,Accident,Rural,Yes
New York,IL,2243,35.92,Medium,Fog,Construction,Rural,Yes
San Jose,CA,2361,32.89,Medium,Rain,Construction,Rural,Yes
Houston,CA,4613,113.17,Low,Clear,Breakdown,Rural,No
San Antonio,TX,1634,25.94,High,Clear,None,Highway,Yes
Los Angeles,TX,3056,107.99,Low,Fog,None,Highway,No
Chicago,NY,4094,23.68,Medium,Fog,Accident,Expressway,Yes
New York,NY,1260,81.58,Low,Snow,None,Highway,No
Phoenix,CA,3464,45.19,Low,Snow,Construction,Rural,No
New York,CA,2036,44.76,Medium,Snow,Accident,Highway,No
San Diego,CA,3220,119.81,Low,Snow,Breakdown,Urban,No
New York,CA,2776,34.86,High,Rain,None,Highway,No
New York,AZ,1798,32.28,High,Rain,Construction,Expressway,No
Los Angeles,NY,807,74.83,High,Cloudy,Breakdown,Expressway,No
Los Angeles,NY,1227,91.48,Medium,Cloudy,Breakdown,Rural,No
Philadelphia,CA,968,118.08,Low,Snow,Accident,Highway,No
San Antonio,IL,1169,87.16,Low,Snow,Breakdown,Highway,No
Phoenix,CA,755,71.81,High,Rain,Accident,Urban,No
New York,PA,4979,55,Medium,Snow,Construction,Expressway,No
New York,TX,3480,75.46,High,Snow,None,Urban,Yes
Chicago,PA,2911,76.09,High,Rain,None,Expressway,Yes
Los Angeles,IL,4544,33.95,High,Clear,Breakdown,Rural,Yes
Phoenix,TX,1857,83.83,High,Rain,Breakdown,Highway,No
San Jose,IL,1449,32.49,Medium,Snow,Construction,Urban,Yes
Philadelphia,TX,2699,63.9,Medium,Rain,Breakdown,Expressway,No
San Antonio,CA,4473,38.59,High,Cloudy,Construction,Expressway,No
Houston,CA,1345,44.41,Medium,Clear,Construction,Highway,No
San Antonio,IL,1670,77.53,High,Clear,None,Expressway,Yes
San Diego,TX,2492,17.09,High,Clear,None,Expressway,No
New York,AZ,2645,11.32,High,Rain,Construction,Urban,Yes
Philadelphia,IL,4222,24.37,High,Cloudy,Breakdown,Highway,Yes
San Diego,IL,1122,28.56,Low,Fog,None,Urban,Yes
Phoenix,PA,4125,31.77,Low,Cloudy,Construction,Urban,Yes
Houston,NY,1499,95.13,High,Cloudy,Accident,Highway,No
Los Angeles,IL,3992,59.15,High,Snow,Breakdown,Expressway,No
Philadelphia,AZ,1821,61.69,High,Cloudy,None,Rural,No
Philadelphia,CA,1067,80.88,Low,Rain,Construction,Urban,Yes
New York,TX,3742,90.2,Low,Clear,None,Expressway,Yes
Dallas,NY,4274,10.39,High,Cloudy,None,Expressway,Yes
Philadelphia,TX,568,104.24,Low,Cloudy,Construction,Rural,Yes
Chicago,CA,2401,118.73,Low,Fog,Construction,Urban,Yes
Houston,IL,1185,23.4,Low,Fog,Accident,Rural,No
Houston,PA,2822,81.62,Medium,Snow,Breakdown,Rural,No
Chicago,AZ,961,10.27,High,Fog,None,Urban,No
San Jose,NY,865,15.39,Low,Snow,Breakdown,Urban,No
Chicago,AZ,1023,41.35,Low,Rain,Construction,Highway,Yes
Chicago,AZ,2012,103.1,Medium,Clear,Construction,Urban,No
Houston,AZ,2916,81.78,Medium,Fog,Construction,Rural,Yes
San Antonio,AZ,2460,59.04,Medium,Rain,Construction,Expressway,Yes
Houston,CA,3152,58.25,Medium,Clear,Breakdown,Highway,No
Dallas,AZ,1850,61.27,Medium,Rain,Construction,Highway,Yes
New York,PA,858,44.21,Medium,Rain,None,Highway,Yes
San Diego,AZ,619,106.55,Medium,Rain,Breakdown,Highway,Yes
San Antonio,CA,1019,72.47,High,Rain,Construction,Rural,No
Los Angeles,TX,4129,63.23,Medium,Fog,Accident,Urban,Yes
San Diego,CA,1929,61.16,Low,Cloudy,Breakdown,Rural,Yes
New York,PA,3369,112.94,Low,Rain,Accident,Rural,Yes
Dallas,PA,4755,89.6,Low,Clear,Accident,Urban,No
Dallas,IL,437,25.93,Low,Fog,Breakdown,Highway,Yes
Los Angeles,CA,4904,58.07,Medium,Fog,Accident,Rural,No
San Antonio,TX,2539,41.72,High,Rain,Breakdown,Highway,No
San Jose,IL,565,118.56,High,Rain,Construction,Expressway,Yes
Chicago,IL,3894,55.69,Medium,Clear,Construction,Urban,No
San Antonio,NY,2940,17.47,High,Cloudy,Construction,Highway,Yes
San Jose,AZ,4190,55.23,Medium,Fog,None,Urban,Yes
Dallas,IL,1492,45.35,Low,Rain,Accident,Highway,Yes
Houston,IL,772,75.95,Medium,Snow,Breakdown,Expressway,No
New York,PA,805,34.87,High,Snow,None,Urban,No
Los Angeles,TX,2300,13.96,High,Rain,None,Expressway,Yes
New York,IL,1958,20.55,High,Snow,Breakdown,Expressway,No
Phoenix,TX,2636,41.15,Medium,Clear,None,Expressway,Yes
Phoenix,AZ,435,48.32,Medium,Cloudy,Accident,Urban,No
San Antonio,PA,3065,101.79,Medium,Snow,Breakdown,Expressway,Yes
Dallas,NY,4505,39.71,High,Clear,None,Urban,No
Dallas,NY,4137,13.46,High,Snow,None,Highway,Yes
Chicago,AZ,1541,95.88,High,Clear,None,Rural,No
Chicago,AZ,2017,105.58,Low,Clear,Breakdown,Expressway,No
Chicago,PA,4350,64.15,Medium,Rain,Construction,Highway,Yes
Houston,PA,3368,41.34,Medium,Fog,None,Expressway,Yes
San Diego,CA,3088,94.94,High,Clear,Accident,Highway,No
Philadelphia,IL,1122,10.98,High,Snow,Construction,Highway,No
San Diego,IL,4511,111.64,High,Rain,Accident,Highway,No
New York,IL,2350,105.21,High,Fog,Breakdown,Expressway,Yes
San Diego,TX,818,69.93,Low,Cloudy,Construction,Rural,No
Houston,CA,2729,40.53,High,Clear,Accident,Rural,No
New York,IL,1036,13.61,High,Clear,None,Urban,No
San Diego,TX,4562,119.98,High,Fog,Construction,Rural,Yes
Houston,TX,3156,93.83,Medium,Rain,Construction,Expressway,No
Philadelphia,NY,2409,47.26,Medium,Cloudy,Breakdown,Urban,Yes
San Diego,TX,246,12.12,High,Fog,Construction,Expressway,Yes
Houston,AZ,3094,80.32,Medium,Cloudy,Breakdown,Expressway,Yes
Chicago,PA,2357,118.56,Low,Fog,Construction,Expressway,Yes
Dallas,TX,1439,87.78,Low,Rain,Breakdown,Rural,No
Chicago,AZ,3608,19.21,Low,Snow,Breakdown,Urban,No
Dallas,AZ,2631,54.25,Low,Fog,Accident,Highway,No
Los Angeles,NY,2121,22.01,Medium,Snow,Construction,Expressway,Yes
Los Angeles,NY,3040,110.34,Medium,Fog,None,Rural,No
Los Angeles,TX,1719,46.35,High,Clear,None,Urban,Yes
Philadelphia,NY,1467,90.67,Low,Rain,Accident,Rural,No
Chicago,NY,2776,19.32,Low,Clear,Accident,Expressway,Yes
Dallas,PA,4182,24.13,Medium,Cloudy,Construction,Rural,No
Houston,IL,2919,84.74,Low,Snow,Construction,Highway,No
New York,TX,1636,102.78,Medium,Cloudy,None,Expressway,Yes
Houston,TX,4717,32.16,Medium,Snow,None,Rural,Yes
New York,TX,4452,56.02,Low,Snow,Accident,Rural,Yes
Phoenix,NY,4450,78.14,High,Rain,Accident,Highway,Yes
Houston,PA,2276,97.59,Medium,Cloudy,Construction,Expressway,Yes
San Diego,NY,3786,79.1,Medium,Clear,Breakdown,Rural,No
San Diego,AZ,981,20.5,Low,Clear,Breakdown,Highway,Yes
San Antonio,CA,1592,69.71,Medium,Snow,None,Urban,Yes
Chicago,CA,2042,107.31,High,Snow,Breakdown,Rural,Yes
New York,CA,3756,105.48,Low,Snow,Accident,Highway,Yes
New York,IL,4109,74.35,Medium,Cloudy,Breakdown,Expressway,Yes
Chicago,NY,3599,119.53,Low,Cloudy,Construction,Expressway,No
Philadelphia,AZ,3194,21.56,High,Fog,Accident,Rural,Yes
San Antonio,AZ,4942,62.65,Low,Clear,Construction,Highway,Yes
Philadelphia,CA,1584,95.26,High,Snow,Accident,Expressway,No
Philadelphia,PA,3186,25.51,Low,Cloudy,Breakdown,Highway,Yes
Philadelphia,IL,4892,117,High,Fog,Construction,Expressway,No
Chicago,IL,2724,48.95,Low,Snow,Accident,Expressway,Yes
Philadelphia,CA,4598,48.52,Low,Clear,Accident,Urban,Yes
San Diego,CA,4976,33.45,Medium,Cloudy,None,Expressway,No
Los Angeles,NY,4903,41.68,Low,Snow,Accident,Rural,No
Phoenix,PA,910,73.53,Medium,Rain,Construction,Rural,Yes
New York,IL,1602,57.23,High,Rain,Breakdown,Highway,Yes
New York,AZ,4964,31.27,High,Clear,Breakdown,Expressway,No
Phoenix,CA,1442,99.01,Low,Fog,None,Urban,Yes
Chicago,NY,1929,16.85,Medium,Fog,Accident,Rural,Yes
Houston,AZ,430,101.81,Medium,Rain,Construction,Rural,No
Chicago,IL,698,40.24,Low,Clear,None,Highway,Yes
New York,CA,4391,64.55,Medium,Rain,Accident,Rural,Yes
New York,PA,3671,51.92,Low,Snow,Accident,Urban,No
Phoenix,CA,4710,72.77,Low,Cloudy,Construction,Expressway,No
Philadelphia,PA,3467,97.56,Low,Fog,None,Rural,No
Chicago,NY,870,118.83,Medium,Cloudy,None,Rural,No
Dallas,NY,521,43.67,Low,Clear,Breakdown,Highway,Yes
Phoenix,IL,2066,70.92,High,Clear,None,Highway,Yes
San Diego,PA,171,61.26,Low,Rain,Breakdown,Urban,No
New York,CA,4926,119.88,Medium,Clear,None,Rural,Yes
Phoenix,NY,2845,98.98,Low,Cloudy,Accident,Highway,Yes
Chicago,CA,4266,53.68,Low,Fog,Construction,Expressway,Yes
New York,IL,2236,62.46,High,Rain,None,Expressway,Yes
Houston,PA,2184,37.06,High,Clear,Accident,Urban,Yes
Phoenix,CA,2227,93.08,Medium,Snow,None,Urban,No
San Antonio,AZ,2349,102.97,Low,Clear,Breakdown,Rural,Yes
New York,CA,1433,116.15,Low,Fog,Accident,Urban,No
Chicago,TX,3551,72.24,High,Rain,Breakdown,Expressway,Yes
Los Angeles,TX,4192,83.78,Low,Fog,None,Rural,Yes
Dallas,IL,2018,59.07,Medium,Cloudy,Accident,Expressway,No
San Jose,IL,3712,77,High,Cloudy,Breakdown,Highway,No
Philadelphia,IL,1883,48.36,High,Clear,None,Rural,No
San Jose,AZ,3997,91.15,Medium,Snow,Construction,Expressway,Yes
Chicago,PA,2522,12.5,Low,Snow,Construction,Expressway,Yes
San Diego,AZ,4876,13.13,Medium,Rain,Construction,Urban,No
San Diego,CA,4256,88.77,High,Clear,Construction,Rural,No
Los Angeles,NY,1300,112.38,High,Fog,Accident,Highway,No
Philadelphia,PA,3160,79.55,Medium,Clear,Construction,Highway,No
San Antonio,TX,184,89.92,High,Snow,Breakdown,Urban,No
Los Angeles,TX,659,100.63,Low,Fog,Breakdown,Highway,Yes
San Jose,TX,1107,49.78,High,Fog,None,Expressway,No
Los Angeles,CA,3084,21.89,Medium,Snow,Construction,Rural,No
San Jose,CA,2038,112.64,Medium,Rain,Construction,Rural,No
New York,IL,3824,113.24,High,Clear,Breakdown,Highway,Yes
San Diego,NY,2296,58.6,Medium,Snow,Breakdown,Expressway,No
New York,IL,4705,33.89,Medium,Clear,Accident,Urban,Yes
Dallas,CA,308,108.16,Low,Clear,None,Urban,Yes
Philadelphia,AZ,3950,87.93,High,Rain,Accident,Highway,No
San Antonio,IL,965,10.91,Low,Fog,Accident,Expressway,No
San Jose,PA,3992,21.85,Medium,Snow,Construction,Urban,No
San Antonio,CA,287,118.15,Medium,Fog,Breakdown,Rural,No
San Jose,CA,3405,14.19,Low,Cloudy,None,Urban,No
Chicago,AZ,737,41.08,High,Snow,None,Urban,No
Los Angeles,AZ,1208,70.33,Medium,Clear,Accident,Highway,No
Dallas,AZ,2179,30.28,Medium,Snow,Accident,Highway,No
San Diego,NY,644,35.53,Medium,Fog,None,Expressway,Yes
San Jose,PA,2751,48.83,High,Cloudy,Breakdown,Rural,No
San Antonio,CA,1800,39.65,Low,Rain,Breakdown,Expressway,No
Dallas,AZ,452,98.37,Low,Snow,Accident,Highway,Yes
Houston,NY,871,65.03,High,Rain,None,Highway,Yes
Houston,TX,3888,40.65,Medium,Cloudy,Breakdown,Urban,Yes
New York,PA,2285,44.44,Medium,Fog,None,Expressway,Yes
San Diego,TX,2590,14.39,High,Cloudy,Breakdown,Rural,Yes
Chicago,TX,2352,15.43,Medium,Snow,Breakdown,Urban,Yes
San Antonio,CA,1747,88.97,Low,Clear,None,Urban,Yes
Los Angeles,NY,3978,22.42,Low,Fog,Accident,Expressway,No
Los Angeles,NY,1663,62.34,Medium,Snow,Accident,Highway,Yes
San Antonio,TX,4630,102.66,High,Fog,None,Expressway,Yes
Philadelphia,PA,3729,50.53,High,Fog,Breakdown,Highway,No
Chicago,IL,3602,48.03,Medium,Snow,Accident,Urban,No
Dallas,TX,2277,106.04,Medium,Clear,Construction,Rural,No
San Jose,CA,3728,105.13,Medium,Clear,Construction,Rural,Yes
Philadelphia,TX,1514,106.82,High,Snow,Accident,Highway,No
San Jose,PA,4789,72.91,High,Fog,Breakdown,Rural,No
San Jose,PA,4932,114.75,High,Fog,Construction,Expressway,No
Philadelphia,TX,3150,100.09,Medium,Snow,Accident,Highway,No
New York,NY,4163,55.72,High,Snow,Construction,Urban,Yes
Houston,TX,2006,79.25,High,Cloudy,Accident,Rural,Yes
San Jose,AZ,4143,23.4,Low,Clear,Accident,Highway,No
Philadelphia,AZ,4901,70.65,Medium,Fog,None,Rural,No
Philadelphia,IL,736,38.95,Low,Fog,Accident,Highway,No
Phoenix,CA,2086,41.19,High,Fog,Accident,Rural,No
New York,CA,3629,23.83,Low,Fog,Breakdown,Rural,No
San Diego,NY,650,49.4,Low,Snow,None,Expressway,Yes
Phoenix,CA,1093,62.95,Medium,Clear,Breakdown,Highway,Yes
Phoenix,IL,1429,76.04,Low,Cloudy,Accident,Urban,No
San Antonio,AZ,4578,43.54,Medium,Snow,Breakdown,Highway,No
Houston,NY,1091,97.15,Low,Fog,Accident,Expressway,No
Philadelphia,PA,1623,67.31,Low,Clear,Breakdown,Urban,Yes
Houston,AZ,4521,80.19,High,Clear,Construction,Expressway,No
Chicago,IL,1413,40.6,Medium,Rain,Construction,Highway,Yes
San Antonio,NY,1060,99.55,High,Snow,Accident,Urban,No
San Diego,TX,4861,78.67,High,Clear,None,Urban,No
Houston,CA,1306,104.86,Medium,Snow,None,Highway,Yes
Los Angeles,IL,1177,27.59,Medium,Clear,Construction,Urban,No
San Jose,NY,1073,51.87,Medium,Clear,Breakdown,Urban,No
Chicago,AZ,3744,22.43,Medium,Cloudy,Accident,Expressway,Yes
New York,NY,2834,33.71,High,Rain,Construction,Highway,No
San Diego,TX,4366,53.4,Low,Snow,Breakdown,Urban,Yes
Chicago,IL,1099,108.4,Low,Fog,None,Urban,Yes
San Jose,NY,2351,71.27,Medium,Cloudy,None,Urban,Yes
San Antonio,PA,4971,46.34,High,Fog,Breakdown,Highway,No
San Jose,IL,1204,92.16,Medium,Cloudy,None,Expressway,Yes
Phoenix,IL,79,12.17,Low,Clear,Construction,Expressway,No
San Jose,AZ,836,50.71,High,Rain,None,Highway,No
Phoenix,CA,4155,76.09,Medium,Snow,Accident,Urban,Yes
San Antonio,PA,3210,74.16,Medium,Clear,None,Urban,No
Dallas,TX,1220,76.83,Medium,Fog,None,Expressway,No
Phoenix,NY,3248,33.27,Medium,Rain,None,Expressway,Yes
New York,CA,2795,47.08,Medium,Fog,Breakdown,Rural,No
San Jose,AZ,1414,112.47,Medium,Snow,Accident,Rural,Yes
San Jose,CA,1591,117.14,Low,Fog,Construction,Urban,No
New York,IL,4196,44.32,High,Rain,None,Rural,No
Los Angeles,IL,4543,80.9,High,Snow,Breakdown,Expressway,Yes
Philadelphia,TX,363,36.54,Low,Clear,Breakdown,Rural,No
Dallas,PA,2745,50.54,High,Clear,None,Highway,No
San Diego,NY,4659,97.16,Medium,Rain,Breakdown,Highway,No
Phoenix,NY,579,65.13,High,Rain,Breakdown,Rural,Yes
New York,AZ,2516,103.45,Low,Rain,Breakdown,Urban,Yes
San Antonio,TX,2291,79.16,Low,Fog,Breakdown,Rural,Yes
Phoenix,NY,361,79.18,Medium,Clear,Breakdown,Highway,Yes
Philadelphia,PA,1045,13.73,Medium,Clear,Construction,Rural,No
San Antonio,IL,2573,92.46,High,Clear,Breakdown,Rural,No
Chicago,TX,2681,117.57,Medium,Snow,Breakdown,Rural,Yes
San Jose,CA,313,62.03,High,Cloudy,Construction,Expressway,Yes
Chicago,TX,3902,27.44,High,Rain,Accident,Highway,Yes
Phoenix,TX,70,117.47,Medium,Snow,Breakdown,Rural,No
Philadelphia,PA,2574,41.91,High,Cloudy,Breakdown,Expressway,No
Dallas,PA,4694,55.01,High,Rain,Construction,Urban,Yes
Phoenix,NY,1246,18.51,High,Cloudy,Construction,Expressway,No
